Source_city,Destination_city,Travel Distance(in kms),Straight Line Distance(in kms)
Sri nagar,Shimla,620,402.95
Sri nagar,Chandigarh,498,411
Shimla,Sri nagar,620,402.95
Shimla,Chandigarh,112,55.17
Shimla,Dehradun,226,119
Shimla,Lucknow,843,604
Dehradun,Shimla,226,119
Dehradun,Lucknow,552,485
Dehradun,Chandigarh,172,127
Chandigarh,Shimla,112,55.17
Chandigarh,Sri nagar,498,411
Chandigarh,Dehradun,172,127
Chandigarh,Jaipur,508,435
Chandigarh,Lucknow,744,599
Chandigarh,Delhi,243,225
Lucknow,Dehradun,552,485
Lucknow,Delhi,555,431
Lucknow,Shimla,843,604
Lucknow,Patna,539,441
Lucknow,Jaipur,574,511
Lucknow,Raipur,810,628
Lucknow,Bhopal,615,538
Lucknow,Ranchi,710,585
Lucknow,Chandigarh,744,599
Delhi,Chandigarh,243,225
Delhi,Lucknow,555,431
Jaipur,Chandigarh,508,435
Jaipur,Bhopal,598,440
Jaipur,Lucknow,574,511
Jaipur,Gandhinagar,634,525
Bhopal,Lucknow,615,538
Bhopal,Jaipur,598,440
Bhopal,Raipur,613,490
Bhopal,Mumbai,775,661
Bhopal,Gandhinagar,609,482
Raipur,Bhopal,613,490
Raipur,Lucknow,810,628
Raipur,Mumbai,1091,944
Raipur,Ranchi,580,445
Raipur,Hyderabad,779,536
Raipur,Bhubaneswar,546,448
Patna,Lucknow,539,441
Patna,Ranchi,326,248
Patna,Kolkata,395,324
Ranchi,Patna,326,248
Ranchi,Lucknow,710,585
Ranchi,Raipur,580,445
Ranchi,Bhubaneswar,455,344
Ranchi,Kolkata,395,326
Kolkata,Ranchi,395,326
Kolkata,Patna,395,324
Kolkata,Gangtok,675,529
Kolkata,Bhubaneswar,444,363
Kolkata,Dispur,1035,530
Gangtok,Kolkata,675,529
Bhubaneswar,Kolkata,444,363
Bhubaneswar,Ranchi,455,344
Bhubaneswar,Raipur,546,448
Bhubaneswar,Hyderabad,1056,838
Bhubaneswar,Amaravati,819,712
Gandhinagar,Jaipur,634,525
Gandhinagar,Bhopal,609,482
Gandhinagar,Mumbai,545,460
Itanagar,Dispur,324,209
Itanagar,Kohima,321,155
Dispur,Kolkata,1044,783
Dispur,Kohima,350,237
Dispur,Imphal,482,262
Dispur,Aizawl,462,285
Dispur,Shillong,91,64
Dispur,Agartala,536,261
Kohima,Itanagar,321,155
Kohima,Dispur,350,237
Kohima,Imphal,136,97
Imphal,Kohima,136,96
Imphal,Aizawl,399,269
Imphal,Dispur,482,262
Agartala,Aizawl,342,142
Agartala,Dispur,544,263
Shillong,Dispur,91,64
Aizawl,Agartala,342,142
Aizawl,Imphal,399,269
Aizawl,Dispur,462,285
Chennai,Amaravati,447,392
Chennai,Thiruvananthapuram,771,622.8
Chennai,Bengaluru,347,290.42
Thiruvananthapuram,Chennai,771,622.8
Thiruvananthapuram,Bengaluru,731,502.9
Bengaluru,Thiruvananthapuram,731,502.9
Bengaluru,Chennai,347,290.42
Bengaluru,Amaravati,649,497.23
Bengaluru,Hyderabad,569,500.53
Bengaluru,Panaji,578,493.57
Bengaluru,Mumbai,980,846.33
Amaravati,Hyderabad,272,218.13
Amaravati,Bengaluru,649,497.23
Amaravati,Chennai,447,391.65
Amaravati,Bhubaneswar,819,708.11
Hyderabad,Amaravati,272,218.13
Hyderabad,Bengaluru,569,500.53
Hyderabad,Mumbai,711,620.13
Hyderabad,Bhubaneswar,1051,838.04
Hyderabad,Raipur,783,538.59
Mumbai,Hyderabad,711,620.13
Mumbai,Bengaluru,980,846.33
Mumbai,Panaji,571,409.23
Mumbai,Raipur,1091,944.64
Mumbai,Bhopal,776,659.89
Mumbai,Gandhinagar,553,461.54
Panaji,Bengaluru,578,493.57
Panaji,Mumbai,571,409.23
